subscription_id,customer_id,customer_name,plan_name,mrr_amount,previous_mrr,status,start_date,end_date
sub_00001,cus_0001,Wells Oneal and Ward,starter,99,,active,2019-01-09,
sub_00002,cus_0002,Collins Petersen and Taylor,starter,99,,active,2019-01-05,
sub_00003,cus_0003,Mccullough Group,enterprise,799,,active,2019-01-22,
sub_00004,cus_0004,Morrow PLC,enterprise,799,,active,2019-01-18,
sub_00005,cus_0005,Charles-Cummings,starter,99,,active,2019-01-14,
sub_00006,cus_0006,Johnson LLC,starter,99,,active,2019-01-03,
sub_00007,cus_0007,Marshall Ltd,starter,99,,active,2019-01-17,
sub_00008,cus_0008,Winters PLC,growth,499,,active,2019-01-18,
sub_00009,cus_0009,Anderson Ltd,starter,99,,active,2019-01-21,
sub_00010,cus_0010,Marshall-Garcia,growth,499,,active,2019-01-14,
sub_00011,cus_0011,Rivera-Lewis,starter,99,,active,2019-01-19,
sub_00012,cus_0012,Jackson Gonzalez and Sanchez,pro,299,,active,2019-01-28,
sub_00013,cus_0013,Lewis Scott and Patel,starter,99,,active,2019-01-26,
sub_00014,cus_0014,Ward Smith and Williams,starter,99,,active,2019-01-14,
sub_00015,cus_0015,Foster and Sons,pro,299,,active,2019-01-05,
sub_00016,cus_0016,Kelly-Mcconnell,starter,99,,active,2019-01-25,
sub_00017,cus_0017,Bush-Miller,pro,299,,active,2019-01-03,
sub_00018,cus_0018,Gilmore-Finley,pro,299,,active,2019-01-12,
sub_00019,cus_0019,Patel House and Singh,enterprise,799,,active,2019-01-20,
sub_00020,cus_0020,Murray PLC,pro,299,,active,2019-01-02,
sub_00021,cus_0012,Jackson Gonzalez and Sanchez,growth,499,299,active,2019-01-21,
sub_00022,cus_0021,Banks Carr and Williams,starter,99,,active,2019-02-11,
sub_00023,cus_0022,Kelly-Young,pro,299,,active,2019-02-03,
sub_00024,cus_0023,Wilkinson LLC,starter,99,,active,2019-02-19,
sub_00025,cus_0024,Gomez-Campbell,enterprise,799,,active,2019-02-11,
sub_00026,cus_0025,Anderson LLC,starter,99,,active,2019-02-16,
sub_00027,cus_0026,Garcia Weber and Knight,pro,299,,active,2019-02-21,
sub_00028,cus_0027,Dennis Group,pro,299,,active,2019-02-09,
sub_00029,cus_0028,Mueller and Sons,starter,99,,active,2019-02-24,
sub_00030,cus_0029,Cordova-Hanson,growth,499,,active,2019-02-09,
sub_00031,cus_0030,Hansen-Bush,enterprise,799,,active,2019-02-14,
sub_00032,cus_0031,Anderson Group,enterprise,799,,active,2019-02-13,
sub_00033,cus_0032,Fox Group,pro,299,,active,2019-02-05,
sub_00034,cus_0033,Thomas Lucas and Fletcher,pro,299,,active,2019-02-03,
sub_00035,cus_0034,Gonzales Ayala and Miller,enterprise,799,,active,2019-02-28,
sub_00036,cus_0035,Meadows and Sons,starter,99,,active,2019-02-21,
sub_00037,cus_0034,Gonzales Ayala and Miller,enterprise,799,799,cancelled,2019-02-11,2019-02-11
sub_00038,cus_0007,Marshall Ltd,pro,299,99,active,2019-02-12,
sub_00039,cus_0033,Thomas Lucas and Fletcher,growth,499,299,active,2019-02-19,
sub_00040,cus_0032,Fox Group,growth,499,299,active,2019-02-16,
sub_00041,cus_0028,Mueller and Sons,pro,299,99,active,2019-02-01,
sub_00042,cus_0036,Morris PLC,starter,99,,active,2019-03-03,
sub_00043,cus_0037,Peters-Torres,growth,499,,active,2019-03-02,
sub_00044,cus_0038,Stewart Reeves and Moore,starter,99,,active,2019-03-29,
